Record_Number,Channel,CAN_ID_Hex,Frame_Type,Length,Timestamp,Data_Hex,First_4_Bytes,Float_Value
1,0,0x10F,STD,8,2026-01-28T18:46:26.035701,03 00 02 00 A4 E6 26 41,03000200,0.000000
2,0,0x110,STD,8,2026-01-28T18:46:26.035701,03 00 02 00 A4 E6 26 41,03000200,0.000000
3,0,0x110,STD,8,2026-01-28T18:46:26.091714,03 00 03 00 65 C7 87 48,03000300,0.000000
4,0,0x10F,STD,8,2026-01-28T18:46:26.117720,03 00 03 00 B0 6F A9 3D,03000300,0.000000
5,0,0x110,STD,8,2026-01-28T18:46:26.141725,03 00 03 00 87 36 DF 48,03000300,0.000000
6,0,0x10F,STD,8,2026-01-28T18:46:26.199738,03 00 03 00 2E 26 74 3D,03000300,0.000000
7,0,0x110,STD,8,2026-01-28T18:46:26.213742,03 00 03 00 D0 87 1D 48,03000300,0.000000
8,0,0x10F,STD,8,2026-01-28T18:46:26.270490,03 00 03 00 58 A0 87 3D,03000300,0.000000
9,0,0x110,STD,8,2026-01-28T18:46:26.294496,03 00 03 00 CA E4 F3 47,03000300,0.000000
10,0,0x10F,STD,8,2026-01-28T18:46:26.352054,03 00 03 00 BB 33 66 3D,03000300,0.000000
11,0,0x110,STD,8,2026-01-28T18:46:26.378060,03 00 03 00 64 58 EE 47,03000300,0.000000
12,0,0x10F,STD,8,2026-01-28T18:46:26.435624,03 00 03 00 ED 23 1D 3D,03000300,0.000000
13,0,0x110,STD,8,2026-01-28T18:46:26.462631,03 00 03 00 53 C9 1E 48,03000300,0.000000
14,0,0x10F,STD,8,2026-01-28T18:46:26.519643,03 00 03 00 30 CB 3F 3D,03000300,0.000000
15,0,0x110,STD,8,2026-01-28T18:46:26.536647,03 00 03 00 24 2A 58 48,03000300,0.000000
16,0,0x10F,STD,8,2026-01-28T18:46:26.593163,03 00 03 00 50 AA 0E 3D,03000300,0.000000
17,0,0x110,STD,8,2026-01-28T18:46:26.615738,03 00 03 00 06 9C 56 48,03000300,0.000000
18,0,0x10F,STD,8,2026-01-28T18:46:26.672276,03 00 03 00 78 7A 45 3D,03000300,0.000000
19,0,0x110,STD,8,2026-01-28T18:46:26.696281,03 00 03 00 3A 11 8F 48,03000300,0.000000
